Id,H[mm],Theta
157,100,0.5
157,500,0.45
157,1000,0.43
157,2000,0.4
157,4000,0.37
157,10000,0.31
157,150000,0.19
158,40,0.58
158,70,0.58
158,100,0.58
158,500,0.55
158,1000,0.53
158,2000,0.48
158,4000,0.46
158,10000,0.41
158,150000,0.19
159,40,0.58
159,70,0.58
159,100,0.58
159,500,0.55
159,1000,0.53
159,2000,0.48
159,4000,0.46
159,10000,0.41
159,150000,0.19
160,40,0.51
160,70,0.5
160,100,0.5
160,500,0.45
160,1000,0.43
160,2000,0.4
160,4000,0.37
160,10000,0.31
160,150000,0.19
161,40,0.53
161,70,0.53
161,100,0.53
161,500,0.48
161,1000,0.45
161,2000,0.41
161,4000,0.37
161,10000,0.32
161,150000,0.2
162,40,0.53
162,70,0.53
162,100,0.52
162,500,0.49
162,1000,0.46
162,2000,0.42
162,4000,0.39
162,10000,0.34
162,150000,0.19
163,40,0.53
163,70,0.53
163,100,0.53
163,500,0.48
163,1000,0.45
163,2000,0.41
163,4000,0.37
163,10000,0.32
163,150000,0.2
164,40,0.54
164,70,0.53
164,100,0.53
164,500,0.49
164,1000,0.46
164,2000,0.42
164,4000,0.4
164,10000,0.35
164,150000,0.18
