Comments,pit,loc,depth,depth.class,Id,H[mm],Theta
NA,5,Prox,45,45,PP18-0689,0,51.51438364
NA,5,Prox,45,45,PP18-0689,10,46.06000737
NA,5,Prox,45,45,PP18-0689,40,44.93562657
NA,5,Prox,45,45,PP18-0689,70,44.39704292
NA,5,Prox,45,45,PP18-0689,100,43.92665655
NA,5,Prox,45,45,PP18-0689,500,41.8789895
NA,5,Prox,45,45,PP18-0689,1000,40.8018222
NA,5,Prox,45,45,PP18-0689,150000,24.19919221
NA,5,Prox,60,60,PP18-0690,0,49.24414541
NA,5,Prox,60,60,PP18-0690,10,45.02337005
NA,5,Prox,60,60,PP18-0690,40,44.38431267
NA,5,Prox,60,60,PP18-0690,70,43.93135441
NA,5,Prox,60,60,PP18-0690,100,43.38359095
NA,5,Prox,60,60,PP18-0690,500,42.16516836
NA,5,Prox,60,60,PP18-0690,1000,41.29260924
NA,5,Prox,60,60,PP18-0690,150000,24.6950866
NA,5,Prox,85,80,PP18-0691,0,48.73382546
NA,5,Prox,85,80,PP18-0691,10,46.93838789
NA,5,Prox,85,80,PP18-0691,40,46.70969511
NA,5,Prox,85,80,PP18-0691,70,46.43422427
NA,5,Prox,85,80,PP18-0691,100,46.2141941
NA,5,Prox,85,80,PP18-0691,500,45.99416393
NA,5,Prox,85,80,PP18-0691,1000,45.63379956
NA,5,Prox,85,80,PP18-0691,150000,25.90149806
NA,6,Dist,15,15,PP18-0692,0,57.30638007
NA,6,Dist,15,15,PP18-0692,10,54.41615201
NA,6,Dist,15,15,PP18-0692,40,53.82700172
NA,6,Dist,15,15,PP18-0692,70,53.45583703
NA,6,Dist,15,15,PP18-0692,100,52.95505928
NA,6,Dist,15,15,PP18-0692,500,48.37912896
NA,6,Dist,15,15,PP18-0692,1000,46.25288555
NA,6,Dist,15,15,PP18-0692,150000,19.25321748
NA,6,Dist,30,30,PP18-0693,0,49.92363169
NA,6,Dist,30,30,PP18-0693,10,45.2103816
NA,6,Dist,30,30,PP18-0693,40,44.96654361
NA,6,Dist,30,30,PP18-0693,70,44.65303762
NA,6,Dist,30,30,PP18-0693,100,44.54853562
NA,6,Dist,30,30,PP18-0693,500,41.68518092
NA,6,Dist,30,30,PP18-0693,1000,40.66454476
NA,6,Dist,30,30,PP18-0693,150000,20.52660795
NA,6,Dist,45,45,PP18-0694,0,48.34560261
NA,6,Dist,45,45,PP18-0694,10,44.18833987
NA,6,Dist,45,45,PP18-0694,40,43.85916088
NA,6,Dist,45,45,PP18-0694,70,43.49533146
NA,6,Dist,45,45,PP18-0694,100,43.2181281
NA,6,Dist,45,45,PP18-0694,500,41.70217221
NA,6,Dist,45,45,PP18-0694,1000,40.68518237
NA,6,Dist,45,45,PP18-0694,150000,22.3230498
NA,6,Dist,60,60,PP18-0695,0,47.94657432
NA,6,Dist,60,60,PP18-0695,10,44.825944
NA,6,Dist,60,60,PP18-0695,40,44.33762123
NA,6,Dist,60,60,PP18-0695,70,43.98881926
NA,6,Dist,60,60,PP18-0695,100,43.86673856
NA,6,Dist,60,60,PP18-0695,500,43.20401481
NA,6,Dist,60,60,PP18-0695,1000,42.44711451
NA,6,Dist,60,60,PP18-0695,150000,25.50367793
NA,6,Dist,75,80,PP18-0696,0,49.71386057
NA,6,Dist,75,80,PP18-0696,10,47.22079168
NA,6,Dist,75,80,PP18-0696,40,46.87353734
NA,6,Dist,75,80,PP18-0696,70,46.76777459
NA,6,Dist,75,80,PP18-0696,100,46.63380845
NA,6,Dist,75,80,PP18-0696,500,45.94987604
NA,6,Dist,75,80,PP18-0696,1000,45.55326574
