Comments,pit,loc,depth,depth.class,Id,H[mm],Kunsat[mm_h]
NA,6,Prox,45,45,PP18-0699,10,41.34735527
NA,6,Prox,45,45,PP18-0699,40,8.570179092
NA,6,Prox,45,45,PP18-0699,70,2.819137859
NA,6,Prox,45,45,PP18-0699,100,1.127655144
NA,6,Prox,60,60,PP18-0700,0,-9999
NA,6,Prox,60,60,PP18-0700,10,14.84745939
NA,6,Prox,60,60,PP18-0700,40,1.353186172
NA,6,Prox,60,60,PP18-0700,70,0.751770096
NA,6,Prox,60,60,PP18-0700,100,0.451062057
NA,6,Prox,75,80,PP18-0701,0,-9999
NA,6,Prox,75,80,PP18-0701,10,19.39566847
NA,6,Prox,75,80,PP18-0701,40,4.285089546
NA,6,Prox,75,80,PP18-0701,70,0.375885048
NA,6,Prox,75,80,PP18-0701,100,0.338296543
NA,7,Dist,15,15,PP18-0666,0,-9999
NA,7,Dist,15,15,PP18-0666,10,12.40420658
NA,7,Dist,15,15,PP18-0666,40,6.390045814
NA,7,Dist,15,15,PP18-0666,70,2.819137859
NA,7,Dist,15,15,PP18-0666,100,1.202832153
NA,7,Dist,45,45,PP18-0667,0,-9999
NA,7,Dist,45,45,PP18-0667,10,20.29779259
NA,7,Dist,45,45,PP18-0667,40,9.209183673
NA,7,Dist,45,45,PP18-0667,70,2.368075802
NA,7,Dist,45,45,PP18-0667,100,0.612155649
