Id,SoilName,Depth_mm,IsTopsoil,RockFragment_%,RockDepth_mm,MaxRootingDepth_mm,θs,θr,Ks,Ψm,σ,σMac,ΨmMac,θsMacMat,θsMacMat_ƞ,0mm,500mm,1000mm,2000mm,3300mm,4000mm,10000mm,150000mm
17192323000051014,Gimm_5a.1,1020.0,0,0.65,1500.0,1000.0,0.2183,0.015849999999982947,0.15806107019681304,1573.9397592982218,1.6862506876278454,0.7610026639124065,0.7675,10.0,0.16612688153207833,0.2183,0.12882253683631364,0.10692240314782156,0.0824996656230895,0.06548860648058769,0.05944350191229983,0.03635170494003098,0.0163671401729624
18112417110022021,Hanga_2b.2,100.0,1,0.0,3000.0,1000.0,0.598,0.1062190146536949,0.4784153537007835,18127.87546231902,2.5008736734209345,0.7500000000006013,0.7675,10.0,0.44850000000035956,0.5979999999999999,0.42264462300931466,0.40629174335185375,0.38379279136159095,0.3636550740690804,0.3551126553065136,0.30953610690208955,0.17435395516899532
18112417110022022,Hanga_2b.2,350.0,0,0.0,3000.0,1000.0,0.537,0.1569999999999999,0.42433705552646805,3092.2275356708674,1.9113539675049973,0.7500000000000003,0.7675,10.0,0.4027500000000002,0.537,0.36091690687899064,0.3345823521045327,0.30203376075420413,0.27653998752409964,0.2667117137215113,0.22325089898400718,0.16219349339379677
18112417110022023,Hanga_2b.2,1010.0,0,0.0,3000.0,1000.0,0.707,0.1999999999999873,0.568425174357739,3015.7654621246343,1.90300795618746,0.7500000000000006,0.7675,10.0,0.5302500000000003,0.707,0.473278779721476,0.4374702308696825,0.3933401837706305,0.35889160745738835,0.34564237636763934,0.28730998132070745,0.2066177731194589
18192414000651021,Hind_65a.2,100.0,1,0.0,3000.0,1000.0,0.479,0.08726630004078473,0.2895166917210211,12163.867436186156,2.367880019178343,0.8070012531109986,0.7675,10.0,0.3865536002401683,0.479,0.35996236951496613,0.34295395283263846,0.31984119438017466,0.29950912127463525,0.2909949483431728,0.24677602086970393,0.13047137040927792
18192414000651022,Hind_65a.2,350.0,0,0.0,3000.0,1000.0,0.447,0.10658491254917435,0.28360475158993337,3854.8380101296875,1.9848330571008548,0.7962430714713562,0.7675,10.0,0.3559206529476962,0.447,0.3180889521825162,0.2940082807668998,0.2635482226512312,0.2390330818045058,0.22940035773570883,0.185254739149375,0.11469949950018163
18192414000651023,Hind_65a.2,1000.0,0,0.0,3000.0,1000.0,0.441,0.06599999999998721,0.3463130140111967,1933.0571163410232,1.7547576446020803,0.7500000000535534,0.7675,10.0,0.33075000002361704,0.44099999999999995,0.2723815556973996,0.23713339330558622,0.19632597269097485,0.16667538128918094,0.1558260776268225,0.11219507474583768,0.06773991495759199
18192414000651024,Hind_65a.2,1020.0,0,0.65,3000.0,1000.0,0.22075,0.013749999999996293,0.00243136883727962,1341.8638349046687,1.6330765850248545,0.7759161988566341,0.7675,10.0,0.17128350089760197,0.22075,0.12831574263098774,0.10377238401732027,0.07730990440725147,0.0595621479728945,0.05341773167596222,0.03097892637754584,0.014055229674099194
18192414000661011,Hind_66a.1,100.0,1,0.0,3000.0,1000.0,0.492,0.06018782162182057,0.24288338949495422,25155.19986320121,2.6100782710181143,0.8434597033617484,0.7675,10.0,0.4149821740539802,0.492,0.39133380016305563,0.3765579657387399,0.356082858479023,0.33755614709761156,0.3296313233815079,0.28658809019114123,0.14780572782370383
18192414000661012,Hind_66a.1,350.0,0,0.075,3000.0,1000.0,0.42837500000000006,0.11034175268302693,0.23542695950938794,7502.070174410564,2.206783063278132,0.8221527451612904,0.7675,10.0,0.35218968220846786,0.42837500000000006,0.325620300652991,0.3085179273227802,0.2857876865546812,0.2663602194901589,0.2583936800324267,0.2187353903176405,0.1314621649345658
18192414000661013,Hind_66a.1,1000.0,0,0.425,3000.0,1000.0,0.30642499999999995,0.05617499999989514,0.1779372389938201,3186.2696019817026,1.921340338243368,0.8094907512137347,0.7675,10.0,0.2480482034406686,0.30642499999999995,0.21590068797361753,0.19562740397602146,0.17048518498392073,0.15071442273302804,0.14307135427157036,0.10909907335219143,0.06049128721461946
18192414000661014,Hind_66a.1,1020.0,0,0.2,3000.0,1000.0,0.3488,0.06339999999655238,0.17030149920921359,3623.172183081522,1.96417337389238,0.8399766422797716,0.7675,10.0,0.29298385282718437,0.3488,0.25701894274811365,0.23418740649698527,0.20548309952186727,0.18254686887162758,0.17358003290798382,0.1328769339558202,0.0700594321840542
18251700000071011,Hog_7a.1,100.0,1,0.0,3000.0,1000.0,0.467,1.3323325064793392e-10,0.01663180586365653,35428.99727760172,2.6446580595454767,0.9177672088264177,0.7675,10.0,0.42859728652193707,0.467,0.40563118462595776,0.39059127145293754,0.3692157857053877,0.349425377288468,0.3408415995111176,0.29306728201285637,0.125427780382326
18251700000071012,Hog_7a.1,350.0,0,0.0,3000.0,1000.0,0.427,0.0854916771144863,0.18921509350965077,16426.04394732647,2.468012742523042,0.8561478023378537,0.7675,10.0,0.3655751115982635,0.427,0.3435752745192471,0.32961653407524044,0.3104623096387832,0.2933837112437323,0.2861598270768803,0.24785166639509454,0.13732954755689272
18251700000071013,Hog_7a.1,1000.0,0,0.0,3000.0,1000.0,0.355,0.15426182530696594,0.003149661282910267,10154.218306272,2.3076864631402243,0.9667310222588041,0.7675,10.0,0.34318951290187544,0.355,0.32505568616186375,0.3134168110757371,0.29771485600263037,0.2840343245321878,0.27834583410826336,0.24922551269970356,0.1772417685399972
18251700000071014,Hog_7a.1,1020.0,0,0.69,3000.0,1000.0,0.20478000000000002,0.01460999999967593,0.0019047684192717922,1613.853025821174,1.6945982298594944,0.7610400759870771,0.7675,10.0,0.15584578676063365,0.20478000000000002,0.1212947678653099,0.10093294843907925,0.07811407866696092,0.062132209650556505,0.05643115011814632,0.03450843374581502,0.015138688570826533
