Id,Diameter[mm],Cumul_Psd
12151321290051013,0.06,0.8
12151321290051013,2,1
12152414190021011,0.002,0.14
12152414190021011,0.06,0.4
12152414190021011,2,1
12152414190021012,0.002,0.14
12152414190021012,0.06,0.4
12152414190021012,2,1
12152414190021013,0.002,0.25
12152414190021013,0.06,0.30000000000000004
12152414190021013,2,1
12152414190021014,0.002,0.07
12152414190021014,0.06,0.19999999999999996
12152414190021014,2,1
12152419000051061,0.002,0.34
12152419000051061,0.06,0.8500000000000001
12152419000051061,2,1
12152419000051062,0.002,0.39
12152419000051062,0.06,0.85
12152419000051062,2,1
12152419000051063,0.002,0.45
12152419000051063,0.06,0.85
12152419000051063,2,1
12152419000051064,0.002,0.45
12152419000051064,0.06,0.85
12152419000051064,2,1
12152428210013061,0.002,0.22666666666666668
12152428210013061,0.06,0.8166666666666667
12152428210013061,2,1
12152428210013062,0.002,0.19666666666666668
12152428210013062,0.06,0.7
12152428210013062,2,1
12152428210051011,0.002,0.25
12152428210051011,0.06,0.75
12152428210051011,2,1
12152428210051012,0.002,0.25
12152428210051012,0.06,0.75
12152428210051012,2,1
12152428210051013,0.002,0.25
12152428210051013,0.06,0.75
12152428210051013,2,1
12152821000021011,0.002,0.2
12152821000021011,0.06,0.75
12152821000021011,2,1
12152821000021012,0.002,0.06
12152821000021012,0.06,0.17500000000000004
12152821000021012,2,1
12152821000021013,0.002,0.2
12152821000021013,0.06,0.75
12152821000021013,2,1
12152821000051011,0.002,0.3
12152821000051011,0.06,0.75
12152821000051011,2,1
12152821000051012,0.002,0.06
12152821000051012,0.06,0.25
12152821000051012,2,1
12152821000051013,0.002,0.06
12152821000051013,0.06,0.25
12152821000051013,2,1
12152833000021011,0.002,0.175
12152833000021011,0.06,0.7750000000000001
12152833000021011,2,1
12152833000021012,0.002,0.175
12152833000021012,0.06,0.7750000000000001
12152833000021012,2,1
12152833000021013,0.002,0.15
12152833000021013,0.06,0.675
12152833000021013,2,1
12152833000021014,0.002,0.035
12152833000021014,0.06,0.15000000000000002
12152833000021014,2,1
12221113210051011,0.002,0.1
12221113210051011,0.06,0.35
12221113210051011,2,1
12221113210051012,0.002,0.1
12221113210051012,0.06,0.35
12221113210051012,2,1
12221113210051013,0.002,0.1
12221113210051013,0.06,0.4
12221113210051013,2,1
12221113210051014,0.002,0.1
12221113210051014,0.06,0.4
12221113210051014,2,1
12221113210051021,0.002,0.14
12221113210051021,0.06,0.65
12221113210051021,2,1
12221113210051022,0.002,0.14
12221113210051022,0.06,0.65
12221113210051022,2,1
12221113210051023,0.002,0.14
12221113210051023,0.06,0.65
12221113210051023,2,1
12221113210051024,0.002,0.125
12221113210051024,0.06,0.65
12221113210051024,2,1
12232531240031011,0.002,0.23
12232531240031011,0.06,0.75
12232531240031011,2,1
12232531240031012,0.002,0.24
12232531240031012,0.06,0.75
12232531240031012,2,1
12232531240031013,0.002,0.215
12232531240031013,0.06,0.7
12232531240031013,2,1
12232531240041011,0.002,0.15
12232531240041011,0.06,0.30000000000000004
12232531240041011,2,1
12232531240041012,0.002,0.15
12232531240041012,0.06,0.8
12232531240041012,2,1
12232531240041013,0.002,0.15
12232531240041013,0.06,0.8
12232531240041013,2,1
12251212000042011,0.002,0.25
12251212000042011,0.06,0.825
12251212000042011,2,1
12251212000042012,0.002,0.425
12251212000042012,0.06,0.825
12251212000042012,2,1
12251212000042013,0.002,0.2
12251212000042013,0.06,0.7
12251212000042013,2,1
12281134000041011,0.002,0.325
12281134000041011,0.06,0.875
12281134000041011,2,1
12281134000041012,0.002,0.325
12281134000041012,0.06,0.875
12281134000041012,2,1
12281134000041013,0.002,0.475
12281134000041013,0.06,0.875
12281134000041013,2,1
12281134000051011,0.002,0.325
12281134000051011,0.06,0.8499999999999999
12281134000051011,2,1
12281134000051012,0.002,0.325
12281134000051012,0.06,0.8499999999999999
12281134000051012,2,1
12281134000051013,0.002,0.4
12281134000051013,0.06,0.85
12281134000051013,2,1
12281134000051014,0.002,0.175
12281134000051014,0.06,0.65
12281134000051014,2,1
12282513210011011,0.002,0.375
12282513210011011,0.06,0.9
12282513210011011,2,1
12282513210011012,0.002,0.4
12282513210011012,0.06,0.925
12282513210011012,2,1
12282513210011013,0.002,0.425
12282513210011013,0.06,0.925
12282513210011013,2,1
12282525000041011,0.002,0.25
12282525000041011,0.06,0.875
12282525000041011,2,1
12282525000041012,0.002,0.25
12282525000041012,0.06,0.875
12282525000041012,2,1
12282525000041013,0.002,0.2
12282525000041013,0.06,0.875
12282525000041013,2,1
12282525000051011,0.002,0.185
12282525000051011,0.06,0.8
12282525000051011,2,1
12282525000051012,0.002,0.2
12282525000051012,0.06,0.8
12282525000051012,2,1
12282525000051013,0.002,0.225
12282525000051013,0.06,0.6
12282525000051013,2,1
12282525000051014,0.002,0.175
12282525000051014,0.06,0.55
12282525000051014,2,1
12282525000061011,0.002,0.25
12282525000061011,0.06,0.6
12282525000061011,2,1
12282525000061012,0.002,0.275
12282525000061012,0.06,0.6
12282525000061012,2,1
12282525000061013,0.002,0.3
12282525000061013,0.06,0.6
12282525000061013,2,1
12311414000011011,0.002,0.2
12311414000011011,0.06,0.7
12311414000011011,2,1
12311414000011012,0.002,0.275
12311414000011012,0.06,0.6
12311414000011012,2,1
12311414000031011,0.002,0.24
12311414000031011,0.06,0.6
12311414000031011,2,1
12311414000031012,0.002,0.24
12311414000031012,0.06,0.6
12311414000031012,2,1
12311414000041011,0.002,0.215
12311414000041011,0.06,0.7
12311414000041011,2,1
12311414000041012,0.002,0.24
12311414000041012,0.06,0.7
12311414000041012,2,1
12311414000041013,0.002,0.275
12311414000041013,0.06,0.55
12311414000041013,2,1
12311414000052011,0.002,0.1
12311414000052011,0.06,0.7
12311414000052011,2,1
12311414000052012,0.002,0.1
12311414000052012,0.06,0.7
12311414000052012,2,1
12312417000021011,0.002,0.03
12312417000021011,0.06,0.9
12312417000021011,2,1
12312417000021012,0.002,0.115
12312417000021012,0.06,0.75
