0,id,Year,Month,Day,Hour,Minute,Second,Pr_mm,Pet_mm,Temp_c
,382,2015,6,17,19,0,2,0,0,3.576409912
,383,2015,6,17,20,0,2,0,0.029983188,4.870172119
,384,2015,6,17,21,0,2,0,0.13549703,6.246759033
,385,2015,6,17,22,0,2,0,0.237208238,9.99730835
,386,2015,6,17,23,0,2,0,0.291438337,10.4614502
,387,2015,6,18,0,0,2,0,0.305714755,10.85570679
,388,2015,6,18,1,0,2,0,0.278606109,11.15316162
,389,2015,6,18,2,0,2,0,0.210881277,11.33358154
,390,2015,6,18,3,0,2,0,0.106412619,11.38463745
,391,2015,6,18,4,0,2,0,0,11.30288086
,392,2015,6,18,5,0,2,0,0,11.09386597
,393,2015,6,18,6,0,2,0,0,10.77184448
,394,2015,6,18,7,0,2,1.593712601,0,10.35872803
,395,2015,6,18,8,0,2,0,0,9.882714844
,396,2015,6,18,9,0,2,0,0,9.376245117
,397,2015,6,18,10,0,2,0,0,8.873803711
,398,2015,6,18,11,0,2,0,0,8.409631348
,399,2015,6,18,12,0,2,0,0,8.015405273
,400,2015,6,18,13,0,2,0,0,7.717919922
,401,2015,6,18,14,0,2,0,0,7.537530518
,402,2015,6,18,15,0,2,0,0,7.486535645
,403,2015,6,18,16,0,2,0,0,7.574578857
,404,2015,6,18,17,0,2,0,0,7.799676514
,405,2015,6,18,18,0,2,0,0,8.146478271
,406,2015,6,18,19,0,2,0,0,8.591363525
,407,2015,6,18,20,0,2,0,0.009794853,9.103997803
,408,2015,6,18,21,0,2,0,0.043850378,9.649438477
,409,2015,6,18,22,0,2,0,0.072262315,11.36519775
,410,2015,6,18,23,0,2,0,0.087944529,11.47231445
,411,2015,6,19,0,0,2,0,0.091541362,11.56328735
,412,2015,6,19,1,0,2,0,0.082918581,11.6319519
,413,2015,6,19,2,0,2,0,0.062518782,11.67357788
,414,2015,6,19,3,0,2,0,0.030400874,11.68535767
,415,2015,6,19,4,0,2,0,0,11.6664978
,416,2015,6,19,5,0,2,0,0,11.61824951
,417,2015,6,19,6,0,2,0,0,11.54393921
,418,2015,6,19,7,0,2,0,0,11.44860229
,419,2015,6,19,8,0,2,0,0,11.33876953
,420,2015,6,19,9,0,2,0,0,11.22188721
,421,2015,6,19,10,0,2,2.438816475,0,11.10592041
,422,2015,6,19,11,0,2,3.784215543,0,10.99883423
,423,2015,6,19,12,0,2,3.964791074,0,10.90783081
,424,2015,6,19,13,0,2,1.263103448,0,10.83919678
,425,2015,6,19,14,0,2,0,0,10.7975708
,426,2015,6,19,15,0,2,0,0,10.78649292
,427,2015,6,19,16,0,2,0,0,10.87035522
,428,2015,6,19,17,0,2,1.158387982,0,11.08474121
,429,2015,6,19,18,0,2,3.368515521,0,11.41503296
,430,2015,6,19,19,0,2,0.806617434,0,11.8387085
,431,2015,6,19,20,0,2,2.704942599,0.009633323,12.32692871
,432,2015,6,19,21,0,2,0.545853865,0.043049808,12.84639893
,433,2015,6,19,22,0,2,2.9742755,0.067794135,12.8633667
,434,2015,6,19,23,0,2,0.239881381,0.088881061,13.50606689
,435,2015,6,20,0,0,2,4.764554556,0.119792945,14.05193481
,436,2015,6,20,1,0,2,0,0.128261614,14.46383057
,437,2015,6,20,2,0,2,0,0.106013096,14.71361694
,438,2015,6,20,3,0,2,0,0.055297787,14.78432617
,439,2015,6,20,4,0,2,0,0,14.67110596
,440,2015,6,20,5,0,2,0,0,14.38170776
,441,2015,6,20,6,0,2,0,0,13.93581543
,442,2015,6,20,7,0,2,0,0,13.36382446
,443,2015,6,20,8,0,2,0,0,12.70473633
,444,2015,6,20,9,0,2,0,0,12.00344238
,445,2015,6,20,10,0,2,2.563047223,0,11.30773315
,446,2015,6,20,11,0,2,0.968863838,0,10.66506348
,447,2015,6,20,12,0,2,0.863051799,0,10.11916504
,448,2015,6,20,13,0,2,5.964815151,0,9.707299805
,449,2015,6,20,14,0,2,4.935539793,0,9.457513428
,450,2015,6,20,15,0,2,0,0,9.38692627
,451,2015,6,20,16,0,2,2.549583558,0,9.510614014
,452,2015,6,20,17,0,2,2.194989007,0,9.826806641
,453,2015,6,20,18,0,2,0,0,10.31398926
,454,2015,6,20,19,0,2,0.200810799,0,10.93895874
,455,2015,6,20,20,0,2,1.031397609,0.019420469,11.65905151
,456,2015,6,20,21,0,2,1.940420829,0.087962486,12.42528687
,457,2015,6,20,22,0,2,0,0.172273285,11.44118652
,458,2015,6,20,23,0,2,0,0.261715992,12.7265564
,459,2015,6,21,0,0,2,0,0.308106799,13.81832275
,460,2015,6,21,1,0,2,0,0.297569175,14.64208374
,461,2015,6,21,2,0,2,0,0.23134856,15.14165649
,462,2015,6,21,3,0,2,0,0.118672513,15.28307495
,463,2015,6,21,4,0,2,0,0,15.05663452
,464,2015,6,21,5,0,2,0,0,14.47780762
,465,2015,6,21,6,0,2,0,0,13.58605347
,466,2015,6,21,7,0,2,0,0,12.44207153
,467,2015,6,21,8,0,2,0,0,11.12389526
,468,2015,6,21,9,0,2,0,0,9.721307373
,469,2015,6,21,10,0,2,0,0,8.329919434
,470,2015,6,21,11,0,2,0,0,7.044580078
,471,2015,6,21,12,0,2,0,0,5.952813721
,472,2015,6,21,13,0,2,0,0,5.129052734
,473,2015,6,21,14,0,2,0,0,4.629449463
,474,2015,6,21,15,0,2,0,0,4.487298584
,475,2015,6,21,16,0,2,0,0,4.644525146
,476,2015,6,21,17,0,2,0,0,5.046502686
,477,2015,6,21,18,0,2,0,0,5.665795898
,478,2015,6,21,19,0,2,0,0,6.460198975
,479,2015,6,21,20,0,2,0,0.031379433,7.375604248
,480,2015,6,21,21,0,2,0,0.144002974,8.349603271
,481,2015,6,21,22,0,2,0,0.228933379,7.50045166
,482,2015,6,21,23,0,2,0,0.290137657,9.000054932
,483,2015,6,22,0,0,2,0,0.312256103,10.27376709
,484,2015,6,22,1,0,2,0,0.289529213,11.23479614
,485,2015,6,22,2,0,2,0,0.22126043,11.81768188
